Neighborhood,Neighborhood Latitude,Neighborhood Longitude,ID,Venue,Venue Latitude,Venue Longitude,Category
Bedok,1.3236,103.9273,5199eb4c498ef3749c8d4b51,Yi Pin Western Food,1.325097,103.925916,Coffee Shop
Bedok,1.3236,103.9273,527f32ed11d2e93475f60d89,The Food Corner,1.3260443165248132,103.92995135961947,Coffee Shop
Bedok,1.3236,103.9273,51527ec1e4b0b775ac170145,37 Food Village Pte Ltd,1.3251686727859688,103.92592645230037,Coffee Shop
Bedok,1.3236,103.9273,50b9acb4e4b013672706fa8f,Oli Indian Mislim Food,1.3249698337418288,103.9257196868276,Indian Restaurant
Bedok,1.3236,103.9273,4d5dca6d196ba093216bfa55,Ilahi Food Stall,1.3252944516416327,103.92594061431069,Asian Restaurant
Bedok,1.3236,103.9273,4d51347cbd6ff04def28ef0c,Food Truck @ Swanlake,1.322083,103.923905,Food Truck
Bedok,1.3236,103.9273,526a515711d2216958238b3e,The Food Corner 廚角,1.3257559920424684,103.92999667945449,Coffee Shop
Bedok,1.3236,103.9273,4c8ae0b1a92fa09380b995bf,Xiao Fu Vegetarian Food,1.3242398054872584,103.92384711286695,Vegetarian / Vegan Restaurant
Bedok,1.3236,103.9273,4cede2687db3224b1707252e,新世界羊肉汤@bedok Food Centre,1.324944,103.930154,Asian Restaurant
Bedok,1.3236,103.9273,4e13d528aeb7727f20fd5590,Rahimah Indian Food,1.322730156642405,103.9240655743993,Indian Restaurant
Bedok,1.3236,103.9273,4f03aab9f9ab88b0c1a8b1f1,Scissor Cut Vegetarian Food,1.3256547485109154,103.93014396897853,Vegetarian / Vegan Restaurant
Bedok,1.3236,103.9273,54a78a83498ef8abe3f85100,Bedok Western Food,1.3246560239382927,103.93063682356755,Fish & Chips Shop
Bedok,1.3236,103.9273,4cfb6a1cd7206ea862e73e69,Teochew Fishball @ Bedok Food Centre,1.325223,103.930171,Chinese Restaurant
Bedok,1.3236,103.9273,4fa08010e4b0f8dae10c30b1,Block 207 Bedok Food Court,1.3253435649957852,103.9302006188414,Food Court
Bedok,1.3236,103.9273,4cef94633b03f04dcf673fdc,Pontian Wanton Mee @ Bedok Food Centre,1.325539,103.930507,Noodle House
Bedok,1.3236,103.9273,50c557fde4b0309a65969d84,Liang Food Caterer,1.321106,103.924388,Restaurant
Bedok,1.3236,103.9273,50e92b39e4b0a6e2865a9d87,Lynn's Place Western Food,1.323436,103.923266,Fish & Chips Shop
Bedok,1.3236,103.9273,4e6ecf731838a9b62763a0c3,Indian Muslim Food @ 418,1.3271133448635737,103.9303988935453,Indian Restaurant
Bedok,1.3236,103.9273,4fa4a842e4b0bbcd495b7bb0,Sin Min Vegetarian Food,1.32632,103.931394,Vegetarian / Vegan Restaurant
Bedok,1.3236,103.9273,50015f6ee4b05e79b0848c8e,Imran Muslim Food,1.3279387623800651,103.92970776581662,Malay Restaurant
Bedok,1.3236,103.9273,4bb9e4957421a593ea1dc340,Bedok Interchange Hawker Centre,1.3245557429332013,103.93033364568173,Food Court
Bedok,1.3236,103.9273,4e5492007d8b96cd060f2193,Mei Xiang Prawn Noodle • Lor Mee,1.3248004,103.93023,Noodle House
Bedok,1.3236,103.9273,4d04375126adb1f7365cd170,Poh Kee Wanton Noodles,1.3247436,103.93065,Chinese Restaurant
Bedok,1.3236,103.9273,4d958d22daec224b87ed003e,Selegie Soya Bean@bedok,1.32525448046346,103.93026859870767,Dessert Shop
Bedok,1.3236,103.9273,4db420594b226b343d86d1ea,Hong Sheng Fresh Fruit,1.3231088648470937,103.92439979414004,Farmers Market
Bedok,1.3236,103.9273,4e5cfe40483b1858596d7ede,Katong Fried Oyster 加東劉記蚝煎,1.3251817774338561,103.93028559367949,Chinese Restaurant
Bedok,1.3236,103.9273,4ecc4a9f0e01bd353a08194b,Tiong Bahru Jian Bo Shui Kueh,1.3251359829728517,103.930422,Snack Place
Bedok,1.3236,103.9273,4ece2b537ee5be84489fe05b,Katong Sugar Cane Juice,1.325409876357904,103.93037056857008,Juice Bar
Bedok,1.3236,103.9273,4d1e955abdd7a093b5c2dece,Chai Chee Nonya Foodstuff,1.3236551072967633,103.9236237258211,Snack Place
Bedok,1.3236,103.9273,5afad447829b0c002ca20b40,Centuries Foodcourt,1.3236918,103.922615,Food Court
Bishan,1.3526,103.8352,4d719f65ff6ba35d9cbe618a,He Cheng Cooked Food,1.3520327157588086,103.83862377151233,Chinese Restaurant
Bishan,1.3526,103.8352,5593f773498e85ca27e8352b,Xiang Dessert And Food,1.3526938600733223,103.83521249584072,Dessert Shop
Bishan,1.3526,103.8352,4fd5ce61e4b0d43255af3efa,Kim Dae Mun Korean Food,1.3547863744456308,103.83068033687813,Korean Restaurant
Bishan,1.3526,103.8352,4b584116f964a520c14f28e3,Sin Ming Roti Prata (Faisal & Aziz Curry Muslim Food),1.355269259713951,103.8367194443587,Indian Restaurant
Bishan,1.3526,103.8352,4e678bb0a8098026755d9846,R.R India Food Stall ( Roti Prata ),1.3520227450711604,103.83521476025095,Coffee Shop
Bishan,1.3526,103.8352,4dbe06204b222080d3b7e076,Cantonese Food Dim Sum,1.353248,103.834654,Dim Sum Restaurant
Bishan,1.3526,103.8352,57c3aba538fa48c7d86f0187,Shunfu Vegetarian Food 顺福素食,1.3521155214668978,103.83688598871231,Vegetarian / Vegan Restaurant
Bishan,1.3526,103.8352,4faf9defe4b091b4631d64bd,Sing Food Seafood Kitchen,1.355309834633111,103.83625639702178,Chinese Restaurant
Bishan,1.3526,103.8352,565cf03b498e966c9d4f19f0,Jun Muslim Food,1.355265,103.836829,Malay Restaurant
Bishan,1.3526,103.8352,5361e882498e12741e9139d9,shun fu food centre,1.354901671549047,103.83839630634975,Breakfast Spot
Bishan,1.3526,103.8352,4b5a699ff964a5208ac328e3,Shunfu Mart,1.3516575159899922,103.83716830106808,Food Court
Bishan,1.3526,103.8352,4eb4893f469073bbc5c5ad9c,Sin Ming 23 Coffeeshop,1.3541909723062608,103.83571654558182,Coffee Shop
Bishan,1.3526,103.8352,55813e7e498e87c0d93972a6,Koufu 口福,1.354504832515775,103.8303868009962,Food Court
Bishan,1.3526,103.8352,4c58141130d82d7f2f2ddb62,Kar Pin Eating House,1.3539609940965425,103.83589154996191,Chinese Restaurant
Bishan,1.3526,103.8352,4ce79e2ae1eeb60cb12e9eae,Ru Lai Zai,1.355315133269039,103.83674518267722,Vegetarian / Vegan Restaurant
Bishan,1.3526,103.8352,5082887ce4b07e4073a13506,Fragrance Foodstuff,1.3548630730219615,103.83067467601987,Gourmet Shop
Boon Lay,1.3386,103.7058,5a97923e3abcaf201279887c,Daimon Japanese Food Alley,1.33933,103.705938,Food Service
Boon Lay,1.3386,103.7058,4d4520b50349224b4eca014f,Shokutsu TEN Japanese Food Street,1.3394017453176106,103.70695393835204,Japanese Restaurant
Boon Lay,1.3386,103.7058,4d12fa9c058fa35dde042b9f,Mini Food Court,1.3395343621927973,103.70693984409532,Coffee Shop
Boon Lay,1.3386,103.7058,4e27b78afa762797e5966cc4,Japanese Food Stall @ Food N Beauty Hall Basement Square 2,1.3383861106805266,103.7054637278967,Food Court
Boon Lay,1.3386,103.7058,4fdab89be4b03d02681ad3ab,Ministry of food,1.3386623441756118,103.70519226003113,Japanese Restaurant
Boon Lay,1.3386,103.7058,57ad522c498ea969ef3acf5a,Brio European Street Food & Coffee,1.339559,103.706841,Modern European Restaurant
Boon Lay,1.3386,103.7058,4d9e922b36818cfa355df700,Lvl 1 Food Court @ Jp,1.339851,103.706496,Asian Restaurant
Boon Lay,1.3386,103.7058,5b30ac8e2619ee002c8b4634,UFO (Unsual Food Outlet),1.3401055,103.705826,Snack Place
Boon Lay,1.3386,103.7058,50740940e4b09794da8dd53a,Malaysia Boleh!,1.3388558900922622,103.70521529434546,Food Court
Boon Lay,1.3386,103.7058,4d46a5eb7e2e54819575758f,Jurong Point Food Station,1.3399107115550888,103.70705861277604,Restaurant
Boon Lay,1.3386,103.7058,4d67981e5b376dcbd4576d67,Hong Guang Cooked Food,1.3412231088800248,103.70947359890478,Chinese Restaurant
Boon Lay,1.3386,103.7058,4d7eda06f635236abd936f16,Foodcourt,1.3390571988516644,103.70660050559079,Food Court
Boon Lay,1.3386,103.7058,4bbec93a98f495215fcbd163,Kopitiam,1.3399965048118787,103.70669040045483,Food Court
Boon Lay,1.3386,103.7058,4b398e6ef964a520b65d25e3,Ayam Penyet Ria,1.3394904272795694,103.7071357993037,Indonesian Restaurant
Boon Lay,1.3386,103.7058,4f0e5f60e4b01ae24003aa99,Kim Dae Mun Korean Cuisine,1.3400458674140923,103.7066457506748,Korean Restaurant
Bukit Batok,1.359,103.7637,563a57b1cd10e8c24cba2ba9,Al-Ameen Food Court,1.35766,103.760548,Tibetan Restaurant
Bukit Merah,1.2819,103.8239,4b1be531f964a520acfe23e3,Bukit Merah View Market & Food Centre,1.285236635047344,103.82222803726141,Food Court
Bukit Merah,1.2819,103.8239,4bbb4629935e952149f52890,J.Membina Food House,1.2820134243913468,103.82569041840273,Food Court
Bukit Merah,1.2819,103.8239,4e1ec237aeb7fe88acdf64fc,RSAK Indian Muslim Food,1.2826297,103.82621,Indian Restaurant
Bukit Merah,1.2819,103.8239,4c067fe3b0b5b713098df9fa,Anytime Food,1.286366,103.827201,Food & Drink Shop
Bukit Merah,1.2819,103.8239,50fff72de4b0989a4ba226af,26 Food Loft,1.28286,103.825919,Coffee Shop
Bukit Merah,1.2819,103.8239,4daf2cd8a86e29d01a53d2a9,Food,1.2826171239906667,103.82807636704636,College Cafeteria
Bukit Merah,1.2819,103.8239,4f2787e6e4b0ca643f32cf50,Food Court,1.2808580501497817,103.82212138936065,Food Court
Bukit Merah,1.2819,103.8239,55ea479c498e1f6925fded6c,116 Food Farm,1.285226680204164,103.8221856765001,Food Court
Bukit Merah,1.2819,103.8239,57445349498e75187ecb3701,Sisaket Thai Food,1.284339,103.822136,Thai Restaurant
Bukit Merah,1.2819,103.8239,5add655fa92d98045fdd96e9,Friendly Vegetarian Food 善缘素食,1.280312,103.82227,Vegetarian / Vegan Restaurant
Bukit Merah,1.2819,103.8239,584ffae844587f7e6d333e5b,The Food Steps,1.284979,103.822257,Steakhouse
Bukit Merah,1.2819,103.8239,5663ac41498e052091561aaf,mila-salleh malay food,1.2800026232137804,103.82478751144963,Cafeteria
Bukit Merah,1.2819,103.8239,4be24bf5b02ec9b6b5c64cc0,29 Food Centre Jalan Membina,1.28226,103.825983,Coffee Shop
Bukit Merah,1.2819,103.8239,56110150498e019c8365947b,subaidah muslim food,1.282564,103.826178,Coffee Shop
Bukit Merah,1.2819,103.8239,4be8d5ecee96c928609ffebf,Fresh Fruit Juice Bukit Merah View Food Centre,1.284509571265827,103.82221698760986,Juice Bar
Bukit Merah,1.2819,103.8239,5b8f2de3112c6c002c16ce03,Warong Azizah Malay Food,1.2800444,103.82593,Malay Restaurant
Bukit Merah,1.2819,103.8239,5d16e164b5191a002f54f43d,Lye Huat Cooked Food,1.2799416,103.826,Asian Restaurant
Bukit Merah,1.2819,103.8239,581b4307199fe61785164412,Famous Western Food,1.2847861,103.82204,Fish & Chips Shop
Bukit Merah,1.2819,103.8239,4f8c26f8e4b04a0761160606,Fahzilaah Halal Food,1.2852312783598856,103.82212138936065,Indian Restaurant
Bukit Merah,1.2819,103.8239,4bc6ffce8b7c9c744c9835cf,Delight N Delicious @ 29 Food Centre,1.2818296610981825,103.82654797327552,Restaurant
Bukit Merah,1.2819,103.8239,589002d388cfcc07bdc98725,tha qwa muslim food @ JBM,1.280165,103.826347,Coffee Shop
Bukit Merah,1.2819,103.8239,4bed39cd3372c92886481114,Wee Western Stall Bukit Merah View Food Centre,1.2847777247510794,103.8223135471344,Restaurant
Bukit Merah,1.2819,103.8239,4be92c21c5220f473282aaca,Sugar Cane 01-277 Bukit Merah View Food Centre,1.284705,103.822075,Juice Bar
Bukit Merah,1.2819,103.8239,4eb7bf302c5b53141b4a5842,Seafood People @ 26 Food Loft,1.2820065063167632,103.82663938575166,Chinese Restaurant
Bukit Merah,1.2819,103.8239,4daebe726e81e2dffdcda0b8,Top Corner Western Food,1.2816653731958092,103.82651287704144,Steakhouse
Bukit Merah,1.2819,103.8239,5224197411d27ab2bb655a10,Auntis Food store,1.28111,103.820544,Restaurant
Bukit Merah,1.2819,103.8239,4c9b3e2d292a6dcb4680d576,323 New Fusion Cuisine stall @ Bukit Merah view food center,1.285231,103.82233500480652,Asian Restaurant
Bukit Merah,1.2819,103.8239,5426b9d2498e4036e2d09420,Pang Hom Thai Food,1.28515,103.822125,Thai Restaurant
Bukit Merah,1.2819,103.8239,51283535e4b0b8fa8b3296db,Alif Corner Indian Muslim Food,1.285272,103.82218,Indian Restaurant
Bukit Merah,1.2819,103.8239,5e5c60311f5bc90008401e47,Seribu Jaya Indian Food,1.2850854,103.82178,South Indian Restaurant
Bukit Merah,1.2819,103.8239,4bdea5a9e75c0f470e54c803,Yu Zhi Jia Seafood Stall @ Bukit Merah View Market & Food,1.2849204903095053,103.82200251889759,Seafood Restaurant
Bukit Merah,1.2819,103.8239,4be377cbb02ec9b642c04fc0,Hua Ji Bao Dang @ Bukit Merah View Food Centre,1.286146,103.823462,Breakfast Spot
Bukit Merah,1.2819,103.8239,4bdea7030ee3a593de6531b0,Niang Dou Fu @ Bukit Merah View Market & Food,1.285054,103.822193,Asian Restaurant
Bukit Merah,1.2819,103.8239,4d6344df61dda143b8ae1b18,JTC Foodcourt,1.2816234031164595,103.82342684866087,Cafeteria
Bukit Merah,1.2819,103.8239,4d20303ee56f6ea82147731d,Waffle Food Truck,1.2793604865741535,103.82855753161637,Food Truck
Bukit Merah,1.2819,103.8239,4c6e134a06ed6dcb04f1a522,Cendex Cafeteria,1.2805486586924582,103.82229767949025,Food Court
Bukit Merah,1.2819,103.8239,4b8c9510f964a52051d732e3,Kopitiam,1.2863562765171603,103.82706647263824,Food Court
Bukit Merah,1.2819,103.8239,4cb64e673ac93704fbddd20a,112BM Market & Hawker Centre,1.2800337,103.82598,Food Court
Bukit Merah,1.2819,103.8239,4c8b1bb43dc2a1cd54a5b332,FoodRepublik,1.2786763553570357,103.8275838827264,Restaurant
Bukit Merah,1.2819,103.8239,4d4e97fee0f2a1cd31bd8e8d,Chang Cheng Mee Wah (Change Cheng Mee Wah),1.278097158811312,103.82209429704159,Coffee Shop
Bukit Panjang,1.3774,103.7719,4d022a43e5f16ea8205aa928,SoOn Western Food Ayam Goreng,1.377004725037631,103.76811146736145,Diner
Bukit Panjang,1.3774,103.7719,4e23e034b61cdcf1ecd6d53f,Bangkit Food Trolley,1.377338381954122,103.77225592253879,Food Truck
Bukit Panjang,1.3774,103.7719,592a9a93c0cacb22b582dba5,Saigon Food Street,1.37749,103.772721,Vietnamese Restaurant
Bukit Panjang,1.3774,103.7719,54a8babd498e425f3b75a525,Hajjah Anisah Muslim Food,1.3778568055303548,103.77290664116448,Malay Restaurant
Bukit Panjang,1.3774,103.7719,5039e44ce4b0124e442c3c38,Al-Habib Muslim Food,1.37693,103.773282,Halal Restaurant
Bukit Panjang,1.3774,103.7719,4e027bef45ddd368269684c1,Food Hunting,1.379883,103.771975,Arepa Restaurant
Bukit Panjang,1.3774,103.7719,50642545e4b0fee04655b40b,Rasa Rasa Lynn's Kitchen Muslim Food,1.3766579627990723,103.77054595947266,Coffee Shop
Bukit Panjang,1.3774,103.7719,56372a89498e5e23215ebbb7,Bukit Panjang Hawker Centre & Market,1.3774435118669701,103.77242372695437,Market
Bukit Panjang,1.3774,103.7719,4e0588d9c65b5bf27783cacb,Heavely Food ,1.380073,103.772056,Middle Eastern Restaurant
Bukit Panjang,1.3774,103.7719,4c988fe305a1b1f7dc388e53,King's Food Truck,1.3792134888662515,103.76891750259416,Food Truck
Bukit Panjang,1.3774,103.7719,4c6f3f29d7fab1f76f0f5bc9,Zhenghua Coffee House 257,1.3791436097539056,103.77339224252016,Food Court
Bukit Panjang,1.3774,103.7719,4b56f9c8f964a520642128e3,Kim San Leng 金山嶺 Coffee Shop,1.3772081701289451,103.77327285150147,Food Court
Bukit Panjang,1.3774,103.7719,5ba19f5d64c8e1002c8e60e6,Foodpark,1.3764601,103.77048,Food Court
Bukit Panjang,1.3774,103.7719,4d2868d7342d6dcb24f6f7ca,Golden Rooster,1.377034208509888,103.77334234148253,Fried Chicken Joint
Bukit Panjang,1.3774,103.7719,4d4437144e5d37049bafe893,Foodpark,1.3766505064275114,103.7702876386504,Coffee Shop
Bukit Panjang,1.3774,103.7719,4e03e90e62842f8f4740ca94,Foody Paradise,1.380057,103.771952,Falafel Restaurant
Bukit Panjang,1.3774,103.7719,4d02f7e18620224ba644a040,顺心 Fish Soup @ Bangkit Foodhouse,1.3791377559966154,103.77354685438776,Coffee Shop
Bukit Panjang,1.3774,103.7719,4d01e1e96b0c236a0882aba2,Foodie Paradise,1.37761,103.776221,Dim Sum Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,4bfb883e565f76b099a905db,Food Junction,1.3852967207169098,103.74479958189822,Food Court
Choa Chu Kang,1.3840000000000001,103.74700000000001,4ceca2d7f368b1f7dda576f7,Food Alley @ Lot One Shopper's Mall,1.3849673844009533,103.74489464336474,Asian Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,4baed2aff964a520edda3be3,Food Culture,1.384701736259812,103.7446115831003,Food Court
Choa Chu Kang,1.3840000000000001,103.74700000000001,4d2bd2ab8292236aee8b37bb,Food Fare,1.3844107455828467,103.74390689017642,Coffee Shop
Choa Chu Kang,1.3840000000000001,103.74700000000001,4e17134d45ddc623eb0ed2d7,Anytime Food,1.38540832570656,103.74484062194824,Dessert Shop
Choa Chu Kang,1.3840000000000001,103.74700000000001,4ec0eefdf5b93923c1fd68e8,Nasi Padang @ Food Culture,1.384808,103.744907,Asian Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,4d9ba298afc2a1cd40c204c2,E-Food Hub,1.3852073800634115,103.74444206367211,Asian Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,4e2566fa52b17b2b5dcd997b,Lot One Muslim Food Court,1.3844475849170725,103.74460046639061,Food Court
Choa Chu Kang,1.3840000000000001,103.74700000000001,50fa9cd0e4b0b707ce09dd5e,Gazza Pasta @ Food Junction Lot 1,1.3849504585423085,103.7448041273039,Italian Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,4e8570984901d14ec65efdda,Teppanyaki @ Food Junction,1.3853620200573409,103.7447645265465,BBQ Joint
Choa Chu Kang,1.3840000000000001,103.74700000000001,4ca2c76d5720b1f7615e2cef,Yoshinoya LOTONE Food Junction,1.3854590572673893,103.74491161513296,Japanese Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,50f50756e4b0766b2ce9d663,Dong Dae Mun Street Food,1.3852961908886776,103.74428931837096,Snack Place
Choa Chu Kang,1.3840000000000001,103.74700000000001,4f250ecee4b0dc27ba1d32dc,Reliance Food Lion Blk 233 Cck Central,1.380604780453942,103.74743477525998,Convenience Store
Choa Chu Kang,1.3840000000000001,103.74700000000001,4e44a60a18a8bafc6297d42c,CCK Food Fare,1.380791,103.749356,Food
Choa Chu Kang,1.3840000000000001,103.74700000000001,4d8d75c26174a0935b12b2e3,Blk 303 Cck Food Court,1.384713464590282,103.74303341916543,Coffee Shop
Choa Chu Kang,1.3840000000000001,103.74700000000001,4b6ece37f964a5205dcb2ce3,CCK 302 Coffeehouse,1.3847990238534764,103.74329454063925,Food Court
Choa Chu Kang,1.3840000000000001,103.74700000000001,4ca811c214c33704a7b0d03b,Pepper Lunch Express,1.3852895083212737,103.7447718112449,Japanese Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,516bc68ce4b09a83f06fbaf8,Indonesia Penyet,1.3849013230352631,103.74536419641194,Asian Restaurant
Choa Chu Kang,1.3840000000000001,103.74700000000001,4bb87d961261d13a11a6e898,MOF の My Izakaya,1.3855052976826407,103.74464923273626,Japanese Restaurant
